Age_Ma,CO2_xPAL,CO2_ppm,DeltaT_K,T_C,F_sil_total,F_degas,F_prec,Fw_D,Fw_C,F_vsw_Mg,WI_mult,F_sil_blag,pH,Dolomite,Calcite,M_Mg,M_Ca,M_HCO3
393,984.089465012123,275545.050203394,19.8608535540056,34.8608535540056,10.4440104115918,6.81023635456443,94.9923271502396,4.44461660914029,75.7500118058335,7.28932892888857,1.28507213140414,39.3162078042478,6.27685061504606,327.961649753838,4240.29610329102,80.0438765240184,33.8114617887993,52.5106766256386
392,914.346335482561,256016.973935117,19.6490134476084,34.6490134476084,10.7487125678524,6.79848366198885,93.8745636858186,4.29263554327218,74.5355758234932,7.50987333553745,1.32256388351449,38.560060383708,6.30949815239098,322.953061521639,4254.06163750005,82.586585699157,31.312509803409,52.5981910051352
391,840.662121150175,235385.393922049,19.4067113253573,34.4067113253573,11.053414724113,6.78750100676769,92.5949082739489,4.13661727185975,73.1570412052273,7.71105446216591,1.36005563562483,37.723395670857,6.34505760896326,318.110178370735,4267.91562580015,84.9235569701762,28.9177434273827,52.482600795121
390,763.336804823911,213734.305350695,19.1288161624103,34.1288161624103,11.3581168803736,6.77732944099819,91.1294952290163,3.97552996190195,71.5908019198479,7.89466319414759,1.39754738773517,36.7947956562158,6.38414431167044,313.433490793216,4281.85823719133,87.0729473437946,26.6001811346679,52.1462569569282
389,682.759321314972,191172.609968192,18.8069966383055,33.8069966383055,11.6628190366342,6.787814071878,89.3393684382497,3.80269838320911,69.7024554773422,8.08360588637974,1.43503913984552,35.7066114009543,6.4276401216281,308.93541837543,4295.88326442741,89.0264531577506,24.3481149169506,51.5491361494059
388,599.582691258901,167883.153552492,18.4329507065311,33.4329507065311,11.9688348535918,6.79914918959334,87.2996719239478,3.62233005201359,67.5588577448405,8.25552754961513,1.47269252993642,34.4944713481753,6.47645098210423,304.618587203004,4309.98106081975,90.7865932866946,22.1432650908052,50.6597167550031
387,494.578890768197,138482.089415095,17.8781172074934,32.8781172074934,12.8225734213752,6.81297974298682,84.9178515667728,3.4000025622361,64.5082770257908,8.46209596494685,1.57773988222034,32.8188250123394,6.54799696347083,300.511593733882,4325.35853666174,92.9219908298043,19.3137276093199,49.271436878252
386,468.636623086532,131218.254464229,17.7228463321721,32.7228463321721,7.68973283431044,6.82110131121314,78.3735068875526,3.29862166934776,63.5674806454875,8.43159298978135,0.946174982011498,32.2619669136715,6.56097265938799,296.581149356842,4335.81475222287,92.4516775198211,19.1997898770191,48.1029347936837
385,451.394164379495,126390.366026259,17.6148055411711,32.6148055411711,8.98021488674033,6.82865746167589,78.8953797856546,3.21309345289118,62.8724722739214,8.37505619771537,1.10496097094677,31.8374718645259,6.56697466381018,292.741579111903,4345.56742859533,91.6976965993802,19.391170470613,46.9777341399897
384,420.210006732059,117658.801884977,17.4084991826106,32.4084991826106,8.97518743456057,6.83759196294402,77.5221327905689,3.1046020655518,61.6826413532028,8.35383902722403,1.10434237345083,31.1594720996924,6.58579572905187,289.009043648463,4356.0562112204,91.3320613600614,19.1025141961434,45.669151112413
